Title,Weekend Gross
Aquaman,31003280.00
Escape Room,18238172.00
Mary Poppins Returns,15860957.00
Bumblebee,13202603.00
Spider-Man: Into The Spider-Verse,13126885.00
The Mule,9109693.00
Vice,5734509.00
Second Act,4755291.00
Ralph Breaks the Internet,4673522.00
Holmes and Watson,3302827.00
Bohemian Rhapsody,2368141.00
Mary Queen of Scots,2146860.00
The Favourite,1903292.00
If Beale Street Could Talk,1843384.00
Green Book,1807575.00
On the Basis of Sex,1609454.00
Dr. Seuss' The Grinch (2018),1168395.00
Simmba,1005087.00
Creed II,922650.00
Instant Family,702529.00